Case,Method,Metric,Mean,Std,N
TC1_SheppLogan,MLEM,SNR,3.862377,0.064456,10
TC1_SheppLogan,MLEM+TV,SNR,8.066367,0.013761,10
TC1_SheppLogan,MLEM+AD,SNR,5.076741,0.070985,10
TC1_SheppLogan,MLEM+FuzzyAD,SNR,3.874819,0.076064,10
TC1_SheppLogan,MLEM+FONF,SNR,10.000280,0.006994,10
TC1_SheppLogan,PnP-ADMM(TV),SNR,6.660962,0.008106,10
TC1_SheppLogan,MLEM,MSE,0.024921,0.000368,10
TC1_SheppLogan,MLEM+TV,MSE,0.009465,0.000030,10
TC1_SheppLogan,MLEM+AD,MSE,0.018842,0.000308,10
TC1_SheppLogan,MLEM+FuzzyAD,MSE,0.024850,0.000433,10
TC1_SheppLogan,MLEM+FONF,MSE,0.006064,0.000010,10
TC1_SheppLogan,PnP-ADMM(TV),MSE,0.013082,0.000024,10
TC1_SheppLogan,MLEM,RMSE,0.157859,0.001168,10
TC1_SheppLogan,MLEM+TV,RMSE,0.097288,0.000154,10
TC1_SheppLogan,MLEM+AD,RMSE,0.137263,0.001122,10
TC1_SheppLogan,MLEM+FuzzyAD,RMSE,0.157635,0.001377,10
TC1_SheppLogan,MLEM+FONF,RMSE,0.077869,0.000063,10
TC1_SheppLogan,PnP-ADMM(TV),RMSE,0.114375,0.000107,10
TC1_SheppLogan,MLEM,PSNR,16.034811,0.064456,10
TC1_SheppLogan,MLEM+TV,PSNR,20.238801,0.013761,10
TC1_SheppLogan,MLEM+AD,PSNR,17.249174,0.070985,10
TC1_SheppLogan,MLEM+FuzzyAD,PSNR,16.047252,0.076064,10
TC1_SheppLogan,MLEM+FONF,PSNR,22.172713,0.006994,10
TC1_SheppLogan,PnP-ADMM(TV),PSNR,18.833395,0.008106,10
TC1_SheppLogan,MLEM,CP,0.159544,0.008714,10
TC1_SheppLogan,MLEM+TV,CP,0.479811,0.001898,10
TC1_SheppLogan,MLEM+AD,CP,0.201766,0.006745,10
TC1_SheppLogan,MLEM+FuzzyAD,CP,0.165799,0.010076,10
TC1_SheppLogan,MLEM+FONF,CP,0.307963,0.000887,10
TC1_SheppLogan,PnP-ADMM(TV),CP,0.372650,0.004590,10
TC1_SheppLogan,MLEM,MSSIM,0.513364,0.000980,10
TC1_SheppLogan,MLEM+TV,MSSIM,0.755341,0.000352,10
TC1_SheppLogan,MLEM+AD,MSSIM,0.568830,0.002077,10
TC1_SheppLogan,MLEM+FuzzyAD,MSSIM,0.513903,0.001352,10
TC1_SheppLogan,MLEM+FONF,MSSIM,0.724963,0.000361,10
TC1_SheppLogan,PnP-ADMM(TV),MSSIM,0.706335,0.000237,10
TC2,MLEM,SNR,4.506267,0.037472,10
TC2,MLEM+TV,SNR,17.934310,0.019794,10
TC2,MLEM+AD,SNR,9.203956,0.102762,10
TC2,MLEM+FuzzyAD,SNR,4.501074,0.042564,10
TC2,MLEM+FONF,SNR,18.449583,0.030479,10
TC2,PnP-ADMM(TV),SNR,16.540827,0.014158,10
TC2,MLEM,MSE,0.062150,0.000536,10
TC2,MLEM+TV,MSE,0.002822,0.000013,10
TC2,MLEM+AD,MSE,0.021075,0.000496,10
TC2,MLEM+FuzzyAD,MSE,0.062225,0.000608,10
TC2,MLEM+FONF,MSE,0.002507,0.000018,10
TC2,PnP-ADMM(TV),MSE,0.003890,0.000013,10
TC2,MLEM,RMSE,0.249297,0.001075,10
TC2,MLEM+TV,RMSE,0.053127,0.000121,10
TC2,MLEM+AD,RMSE,0.145163,0.001713,10
TC2,MLEM+FuzzyAD,RMSE,0.249447,0.001221,10
TC2,MLEM+FONF,RMSE,0.050067,0.000176,10
TC2,PnP-ADMM(TV),RMSE,0.062371,0.000102,10
TC2,MLEM,PSNR,12.065734,0.037472,10
TC2,MLEM+TV,PSNR,25.493777,0.019794,10
TC2,MLEM+AD,PSNR,16.763422,0.102762,10
TC2,MLEM+FuzzyAD,PSNR,12.060541,0.042564,10
TC2,MLEM+FONF,PSNR,26.009050,0.030479,10
TC2,PnP-ADMM(TV),PSNR,24.100294,0.014158,10
TC2,MLEM,CP,0.054732,0.004878,10
TC2,MLEM+TV,CP,0.481659,0.006334,10
TC2,MLEM+AD,CP,0.097367,0.004427,10
TC2,MLEM+FuzzyAD,CP,0.053958,0.005743,10
TC2,MLEM+FONF,CP,0.263094,0.003329,10
TC2,PnP-ADMM(TV),CP,0.406735,0.005709,10
TC2,MLEM,MSSIM,0.442028,0.000570,10
TC2,MLEM+TV,MSSIM,0.832429,0.000624,10
TC2,MLEM+AD,MSSIM,0.566590,0.003046,10
TC2,MLEM+FuzzyAD,MSSIM,0.441145,0.000961,10
TC2,MLEM+FONF,MSSIM,0.648357,0.001674,10
TC2,PnP-ADMM(TV),MSSIM,0.786160,0.000472,10
TC3,MLEM,SNR,4.586954,0.060180,10
TC3,MLEM+TV,SNR,17.014068,0.027245,10
TC3,MLEM+AD,SNR,6.339672,0.045887,10
TC3,MLEM+FuzzyAD,SNR,4.561720,0.013389,10
TC3,MLEM+FONF,SNR,18.693620,0.030233,10
TC3,PnP-ADMM(TV),SNR,15.624579,0.015757,10
TC3,MLEM,MSE,0.053125,0.000738,10
TC3,MLEM+TV,MSE,0.003038,0.000019,10
TC3,MLEM+AD,MSE,0.035482,0.000377,10
TC3,MLEM+FuzzyAD,MSE,0.053430,0.000165,10
TC3,MLEM+FONF,MSE,0.002063,0.000014,10
TC3,PnP-ADMM(TV),MSE,0.004183,0.000015,10
TC3,MLEM,RMSE,0.230483,0.001599,10
TC3,MLEM+TV,RMSE,0.055116,0.000173,10
TC3,MLEM+AD,RMSE,0.188364,0.000998,10
TC3,MLEM+FuzzyAD,RMSE,0.231149,0.000356,10
TC3,MLEM+FONF,RMSE,0.045425,0.000158,10
TC3,PnP-ADMM(TV),RMSE,0.064677,0.000117,10
TC3,MLEM,PSNR,15.669973,0.060180,10
TC3,MLEM+TV,PSNR,28.097087,0.027245,10
TC3,MLEM+AD,PSNR,17.422691,0.045887,10
TC3,MLEM+FuzzyAD,PSNR,15.644740,0.013389,10
TC3,MLEM+FONF,PSNR,29.776640,0.030233,10
TC3,PnP-ADMM(TV),PSNR,26.707598,0.015757,10
TC3,MLEM,CP,0.052202,0.005098,10
TC3,MLEM+TV,CP,0.467411,0.018104,10
TC3,MLEM+AD,CP,0.069804,0.005701,10
TC3,MLEM+FuzzyAD,CP,0.050958,0.006751,10
TC3,MLEM+FONF,CP,0.256139,0.004569,10
TC3,PnP-ADMM(TV),CP,0.373684,0.011171,10
TC3,MLEM,MSSIM,0.377832,0.000733,10
TC3,MLEM+TV,MSSIM,0.856416,0.000510,10
TC3,MLEM+AD,MSSIM,0.422980,0.002130,10
TC3,MLEM+FuzzyAD,MSSIM,0.376804,0.000732,10
TC3,MLEM+FONF,MSSIM,0.745000,0.002071,10
TC3,PnP-ADMM(TV),MSSIM,0.820221,0.000391,10
Thorax_real,MLEM,SNR,4.926319,0.053479,10
Thorax_real,MLEM+TV,SNR,15.616754,0.020020,10
Thorax_real,MLEM+AD,SNR,11.639423,0.032378,10
Thorax_real,MLEM+FuzzyAD,SNR,9.998876,0.024051,10
Thorax_real,MLEM+FONF,SNR,18.457531,0.050515,10
Thorax_real,PnP-ADMM(TV),SNR,14.291424,0.013302,10
Thorax_real,MLEM,MSE,0.017605,0.000218,10
Thorax_real,MLEM+TV,MSE,0.001502,0.000007,10
Thorax_real,MLEM+AD,MSE,0.003752,0.000028,10
Thorax_real,MLEM+FuzzyAD,MSE,0.005475,0.000030,10
Thorax_real,MLEM+FONF,MSE,0.000781,0.000009,10
Thorax_real,PnP-ADMM(TV),MSE,0.002037,0.000006,10
Thorax_real,MLEM,RMSE,0.132681,0.000819,10
Thorax_real,MLEM+TV,RMSE,0.038751,0.000089,10
Thorax_real,MLEM+AD,RMSE,0.061256,0.000229,10
Thorax_real,MLEM+FuzzyAD,RMSE,0.073990,0.000205,10
Thorax_real,MLEM+FONF,RMSE,0.027941,0.000162,10
Thorax_real,PnP-ADMM(TV),RMSE,0.045138,0.000069,10
Thorax_real,MLEM,PSNR,17.543985,0.053479,10
